doi,authors
10.1001/archpsyc.59.12.1133,"['Linda A. Teplin', 'Karen M. Abram', 'Gary M. McClelland', 'Mina K. Dulcan', 'Amy A. Mericle']"
10.1111/ijcp.12313,"['Tomas Welsh', 'Adam Gordon', 'John Gladman']"
10.25071/1920-7336.40654,"['Maha Shuayb', 'Nader Ahmad']"
10.1017/s0140525x0999152x,"['Joseph Henrich', 'Steven J. Heine', 'Ara Norenzayan']"
10.1016/j.ejogrb.2020.11.025,"['Vjosa A. Zejnullahu', 'Dardane Ukella-Lleshi', 'Valon A. Zejnullahu', 'Ermira Miftari', 'Valbona Govori']"
10.1111/j.1469-7610.2007.01812.x,"['Antje Bittner', 'Helen L. Egger', 'Alaattin Erkanli', 'E. Jane Costello', 'Debra L. Foley', 'Adrian Angold']"
10.1080/09662839.2015.1027767,['Christopher C. Leite']
10.1186/s12992-015-0122-z,"['Fiona Scorgie', 'Duane Blaauw', 'Tessa Dooms', 'Ashraf Coovadia', 'Vivian Black', 'Matthew Chersich']"
10.1002/jcop.21975,"['Jaime M. Booth', 'Yu‐Ru Lin', 'Kai Wei']"
10.1080/08841233.2016.1142490,"['Efrosini Kokaliari', 'Joan Berzoff', 'David S. Byers', 'Anan Fareed', 'Jake Berzoff-Cohen', 'Khalid Hreish']"
10.1080/00420980120087081,"['Ray Forrest', 'Ade Kearns']"
10.1186/s12888-014-0297-5,"['Eric J. Lee', 'Katherine M. Keyes', 'Adina Bitfoi', 'Zlatka Mihova', 'Ondine Pez', 'Elisha Yoon', 'Viviane Kovess–Masféty']"
10.1089/jwh.2015.5236,"['Maya Tabet', 'Louise H. Flick', 'Cynthia A. Loveland Cook', 'Hong Xian', 'Jen Jen Chang']"
10.1080/17441692.2017.1357187,"['Lynn Edwards', 'Linda Estelle Greeff']"
10.4314/aipm.v8i1.80344,"['TT Bella', 'O Arilola', 'OO Omigbodun']"
10.1111/j.1399-3046.2011.01537.x,"['Catharina M. Löf', 'Jacek Winiarski', 'Per Ljungman', 'Ulla Forinder']"
10.51483/ijth.1.1.2021.52-64,"['Ranasinghe J.P.R.C.', 'Karunarathna A.C.I.D.', 'Herath H.M.J.P.']"
10.1176/ajp.102.5.674,"['Sol Charen', 'Luis Perelman']"
10.1080/14616734.2021.1976934,"['Katherine B. Ehrlich', 'Tianyi Yu', 'Aishat Sadiq', 'Gene H. Brody']"
10.1097/wtf.0000000000000100,['Peter Ventevogel']
10.1176/appi.ajp.2007.07040704,"['Margarita Alegrı́a', 'Glorisa Canino', 'Patrick E. Shrout', 'Meghan Woo', 'Naihua Duan', 'Doryliz Vila', 'María Torres', 'Chih-Nan Chen', 'Xiao‐Li Meng']"
10.1017/s0033291700022352,"['Jonathan R. T. Davidson', 'Dana Hughes', 'Dana G. Blazer', 'Linda K. George']"
10.1080/714035885,['Svati P. Shah']
10.1111/1467-8721.00142,['Susan Nolen–Hoeksema']
10.1097/dbp.0000000000001062,"['Cassandra Conrad', 'Natalie Cerda', 'Elizabeth Harstad']"
10.1002/1097-4679(198601)42:1<28::aid-jclp2270420104>3.0.co;2-t,"['John G. Orme', 'Janet Reis', 'Elicia J. Herz']"
10.1111/j.1547-5069.2002.00363.x,['Eugenie Hildebrandt']
10.4081/jphr.2019.1643,"['Mollie R. Sprung', 'Lauren M. D. Faulkner', 'Michele K. Evans', 'Alan B. Zonderman', 'Shari R. Waldstein']"
10.1371/journal.pone.0269341,"['Madeleine Boyers', 'Supriya Garikipati', 'Alice M. Biggane', 'Elizabeth Douglas', 'Nicola Hawkes', 'Ciara Kiely', 'Cheryl Giddings', 'Julie Kelly', 'Diane Exley', 'Penelope A. Phillips‐Howard', 'Linda Mason']"
10.1371/journal.pone.0264886,"['Wong Min Fui', 'Hazreen Abdul Majid', 'Rozmi Ismail', 'Tin Tin Su', 'Maw Pin Tan', 'Mas Ayu Said']"
10.1080/02770903.2020.1817939,"['Laura Nabors', 'Myia L. Graves', 'Kayleigh A. Fiser', 'Ashley L. Merianos']"
10.1177/0169796x211030062,['Eric Kushinga Makombe']
10.3389/fphar.2021.789075,"['Jeffrey M. Rogers', 'Kirsten E. Smith', 'Justin C. Strickland', 'David H. Epstein']"
10.1037/tps0000175,"['Amanda NeMoyer', 'Trinidad Rodriguez', 'Kiara Álvarez']"
10.2307/1925175,"['Jack M. Holl', 'David J. Rothman']"
10.1080/19371918.2011.593462,"['Marya R. Sosulski', 'Amanda Toler Woodward']"
10.1192/bjp.bp.114.149138,"['Trang Nguyen', 'Thach Tran', 'Tuan Tran', 'Buoi thi La', 'Hau Nguyen', 'Jane Fisher']"
10.20529/ijme.2021.013,"['Vijayaprasad Gopichandran', 'Sudharshini Subramaniam']"
10.7709/jnegroeducation.84.3.0254,"['Danielle M. Perry', 'Karen M. Tabb', 'Ruby Mendenhall']"
10.1002/j.2051-5545.2008.tb00181.x,"['Brian Kirkpatrick', 'Silvana Galderisi']"
10.3390/healthcare9060691,"['Carlos Ruíz-Frutos', 'Juan Carlos Palomino-Baldeón', 'Mónica Ortega‐Moreno', 'María del Carmen Villavicencio-Guardia', 'Adriano Días', 'João Marcos Bernardes', 'Juan Gómez‐Salgado']"
10.1111/j.1749-6632.2009.05339.x,"['David R. Williams', 'Selina A. Mohammed', 'Jacinta Leavell', 'Chiquita Collins']"
10.1111/1532-7795.00001,['Laurence Steinberg']
10.2105/ajph.2008.143446,"['James S. Jackson', 'Katherine M. Knight', 'Jane A. Rafferty']"
10.1186/1752-1505-1-4,"['Kaz de Jong', 'Saskia van der Kam', 'Nathan Ford', 'Sally Hargreaves', 'Richard van Oosten', 'Debbie Cunningham', 'Gerry Boots', 'Elodie Andrault', 'Rolf J. Kleber']"
10.1371/journal.pone.0205794,"['Samuel Yeung Shan Wong', 'Roger Yat‐Nork Chung', 'Dicken Chan', 'Gary Ka-Ki Chung', 'Jerry Li', 'Dominic Mak', 'Maggie Lau', 'Vera Mun Yu Tang', 'David Gordon', 'Hung Wong']"
10.3402/ejpt.v5.25338,"['Steven M. Southwick', 'George A. Bonanno', 'Ann S. Masten', 'Catherine Panter‐Brick', 'Rachel Yehuda']"
10.3389/fpsyt.2020.00044,"['Lauren Murphy', 'Helen E. Jack', 'Tessa Concepcion', 'Pamela Y. Collins']"
10.1108/jeas-09-2021-0175,"['Nazia Hasan', 'Anjani Singh', 'Manoj K. Agarwal', 'Bijay Prasad Kushwaha']"
10.1080/00207411.1992.11449237,['Eddie Donoghue']
10.2307/2096319,"['Catherine E. Ross', 'Chia‐Ling Wu']"
10.3329/bjms.v8i1.3186,"['A Fahmida', 'Mohammed Ali Wahab', 'MM Rahman']"
10.1093/ije/dys064,"['Andy Boyd', 'Jean Golding', 'John Macleod', 'Debbie A. Lawlor', 'Abigail Fraser', 'John Henderson', 'Lynn Molloy', 'Andy Ness', 'Susan M. Ring', 'George Davey Smith']"
10.3102/00028312032003465,['Gloria Ladson‐Billings']
10.1542/peds.2006-0239,"['Robert C. Whitaker', 'Shannon Phillips', 'Sean Orzol']"
10.1177/00207640211027212,"['Dana Alonzo', 'Marciana Popescu', 'Pinar Zubaroglu-Ioannides']"
10.2106/jbjs.22.00251,"['Zachery Hong', 'David Clever', 'Lauren M. Tatman', 'Anna N. Miller']"
10.1080/00497870490267188,['Monika Elbert']
10.1177/070674370605100404,['Naomi R. Marmorstein']
10.1192/bjp.2019.203,"['Jeremy Coid', 'Rafael González Rodríguez', 'Constantinos Kallis', 'Yamin Zhang', 'Kamaldeep Bhui', 'Bianca De Stavola', 'Paul Bebbington', 'Simone Ullrich']"
10.1177/002193478902000105,"['Linda James Myers', 'DeVon R. Stokes', 'Suzette L. Speight']"
10.1001/jama.2009.754,"['Jack P. Shonkoff', 'W. Thomas Boyce', 'Bruce S. McEwen']"
10.1017/s0033291710002291,"['Ramin Mojtabai', 'Mark Olfson', 'Nancy A. Sampson', 'R. Jin', 'Benjamin G. Druss', 'P. S. Wang', 'Kenneth B. Wells', 'Harold Alan Pincus', 'Ronald C. Kessler']"
10.1080/09540121.2021.1966693,"['David Chipanta', 'Heidi Stöckl', 'Elona Toska', 'Patrick Chanda', 'Jason Mwanza', 'Kelly Kaila', 'Chisangu Matome', 'Gelson Tembo', 'Janne Estill', 'Olivia Keiser']"
10.1177/1363461517746316,"['Yok‐Fong Paat', 'Rachel Green']"
10.1136/sextrans-2021-055088,"['Jocelyn Elmes', 'Rachel Stuart', 'Pippa Grenfell', 'Josephine G. Walker', 'Kathleen Hill', 'Paz Hernandez', 'Carolyn Henham', 'Sibongile Rutsito', 'MD Sarker', 'Sarah Creighton', 'Chrissy Browne', 'Marie‐Claude Boily', 'Peter Vickerman', 'Lucy Platt']"
10.1016/s2215-0366(16)30024-4,"['Dan Chisholm', 'Kim Sweeny', 'Peter Sheehan', 'Bruce Rasmussen', 'Filip Smit', 'Pim Cuijpers', 'Shekhar Saxena']"
10.4314/sacq.v51i0.2,"['Catherine L. Ward', 'C Gould', 'J Kelly', 'K Mauff']"
10.1007/bf00975140,"['I. Lisa McCann', 'Laurie Anne Pearlman']"
10.3389/fpsyt.2021.725823,"['Lydia Whitaker', 'Claire Cameron', 'Hanan Hauari', 'Katie Hollingworth', 'Margaret O’Brien']"
10.1093/shm/hkn043,['Gemma Blok']
10.4314/sacq.v51i1.2,"['Catherine L. Ward', 'C Gould', 'J Kelly', 'K Mauff']"
10.1037/1089-2680.5.4.323,"['Roy F. Baumeister', 'Ellen Bratslavsky', 'Catrin Finkenauer', 'Kathleen D. Vohs']"
10.5325/studamerhumor.1.2.0281,['Miriam Chirico']
10.1177/00207640221119035,"['Phillip Yang', 'Brian Hernandez', 'Kristen A Plastino']"
10.1057/s41599-020-00687-5,['Marta Martins']
10.1215/01903659-2866521,['Simon During']
10.1093/sw/46.2.125,"['K Siefert', 'Sally L. Pimlott']"
10.1038/s41562-024-01919-3,"['Mattia Marchi', 'Anne Alkema', 'Charley Xia', 'Chris H. L. Thio', 'Li-Yu Chen', 'Winni Schalkwijk', 'Gian Maria Galeazzi', 'Sílvia Ferrari', 'Luca Pingani', 'Hyeokmoon Kweon', 'Sara Evans‐Lacko', 'W. David Hill', 'Marco P. Boks']"
10.1080/1359866x.2019.1700907,"['Stephen Heimans', 'Parlo Singh']"
10.4187/respcare.08381,"['Rachel Culbreth', 'Claire A. Spears', 'Kyle Brandenberger', 'Rafaela G. Feresin', 'Shannon Self‐Brown', 'Lynda T Goodfellow', 'Monica H. Swahn', 'Douglas S Gardenhire']"
10.3390/medicina57101113,"['Madalina Timircan', 'Felix Bratosin', 'Iulia Vidican', 'Oana Suciu', 'Mirela Turaiche', 'Adrian Vasile Bota', 'Sorina Mitrescu', 'Iosif Marincu']"
10.1167/iovs.14-16019,"['Khabir Ahmad', 'Anthony B. Zwi', 'Daniel Tarantola', 'TanveerAnjum Chaudhry']"
10.1352/1934-9556-48.3.220,['Chloe J. Jordan']
10.3390/ijerph21020168,"['Omar Mohamed Makram', 'Alan Pan', 'Jay E. Maddock', 'Bita A. Kash']"
10.1111/infa.12380,"['Emily B. Reilly', 'Isabella C. Stallworthy', 'Shanna B. Mliner', 'Michael F. Troy', 'Jed T. Elison', 'Megan R. Gunnar']"
10.1111/j.1468-2427.2011.01051.x,['Ananya Roy']
10.3389/fsoc.2022.995318,"['Julia Petersen', 'Nora Hettich', 'Rieke Baumkötter', 'Philipp S. Wild', 'Norbert Pfeiffer', 'Thomas Münzel', 'J. König', 'Karl J. Lackner', 'Manfred E. Beutel']"
10.1111/1467-8624.00133,"['Greg J. Duncan', 'Jeanne Brooks‐Gunn']"
10.1111/cdep.12013,"['Gary W. Evans', 'Pilyoung Kim']"
10.1001/archpsyc.1987.01800240031005,['Robert S. Pynoos']
10.1037/abn0000719,"['Megan E. Mikhail', 'Sarah L. Carroll', 'David A. Clark', 'Shannon M. O’Connor', 'S. Alexandra Burt', 'Kelly L. Klump']"
10.3102/00028312039001133,[]
10.11648/j.sjph.20160401.11,['Balu Natha Mote']
10.1186/s12905-020-01062-x,"['Maria Slim', 'Chadia Haddad', 'Elsa Sfeir', 'Clara Rahme', 'Souheil Hallit', 'Sahar Obeïd']"
10.1017/s0033291700053332,['Lorna Wing']
10.1080/07352166.2021.1904781,['Philip M. E. Garboden']
10.1017/gmh.2022.28,"['Emma Clarke‐Deelder', 'Slawa Rokicki', 'Mark E. McGovern', 'Catherine Birabwa', 'Jessica Cohen', 'Peter Waiswa', 'Catherine Abbo']"
10.1146/annurev.psych.58.110405.085551,"['Rand D. Conger', 'M. Brent Donnellan']"
10.2989/16085906.2016.1179653,"['Lynn Michalopoulos', 'Nomagugu Ncube', 'Simona J. Simona', 'Brian Kansankala', 'Emmanuel Sinkala', 'Jasmin Raidoo']"
10.1001/jama.1993.03510150053029,['Nancy Frasure‐Smith']
10.1111/j.1467-8624.1994.tb00768.x,"['Rand D. Conger', 'Xiaojia Ge', 'Glen H. Elder', 'Frederick O. Lorenz', 'Ronald L. Simons']"
10.1080/00094056.2017.1300496,"['Kayli Routhier-Martin', 'Sherron Killingsworth Roberts', 'Norine Blanch']"
10.1371/journal.pone.0259249,"['Sarah Polack', 'Nathaniel Scherer', 'Hisem Yonso', 'Selin Volkan', 'Isotta Pivato', 'Ahmad Shaikhani', 'Dorothy Boggs', 'Ammar Hasan Beck', 'Oluwarantimi Atijosan-Ayodele', 'Gülten Deniz', 'Ahmed Örücü', 'İbrahim Akıncı', 'Shaffa Hameed', 'Ceren Acartürk', 'Andrea M. Patterson']"
10.1016/j.puhip.2022.100232,"['Catherine Porter', 'Annina Hittmeyer', 'Marta Favara', 'Douglas Scott', 'Alan Sánchez']"
10.5249/jivr.v4i2.122,"['Rocio Winnersjö', 'Antônio Ponce de León', 'Joaquim F. Soares', 'Glória Macassa']"
10.1080/10911359.2016.1172997,"['Regina T. Praetorius', 'Diane B. Mitschke', 'Christopher D. Avila', 'Don R. Kelly', 'Jeremiah Henderson']"
10.1001/archpsyc.59.10.893,"['Adrian Angold', 'Alaattin Erkanli', 'Elizabeth M. Z. Farmer', 'John A. Fairbank', 'Barbara J. Burns', 'Gordon Keeler', 'E. Jane Costello']"
10.1007/s11013-018-9579-6,"['Molly E. Lasater', 'Madeleine Beebe', 'Nicole Warren', 'Fatoumata Souko', 'Mariam Keita', 'Sarah M. Murray', 'Judith Bass', 'Pamela J. Surkan', 'Peter J. Winch']"
10.1086/680440,['Geoff Mann']
10.1377/hlthaff.14.3.147,"['Barbara J. Burns', 'E. Jane Costello', 'Adrian Angold', 'Dan L. Tweed', 'Dalene Stangl', 'Elizabeth M. Z. Farmer', 'Al Erkanli']"
10.31729/jnma.2272,"['Saroj Prasad Ojha', 'Manisha Chapagain', 'Pratiksha Tulachan', 'K. Jasmin']"
10.2307/2072630,"['William R. Avison', 'George W. Brown', 'Tirril Harris']"
10.2147/ijwh.s85359,"['Jennifer S. McCall‐Hosenfeld', 'Dana Schirk', 'Erik Lehman', 'Amanda Perry', 'Rollyn M. Ornstein']"
10.1001/archpsyc.64.5.566,"['Wilson M. Compton', 'Yonette F. Thomas', 'Frederick S. Stinson', 'Bridget F. Grant']"
10.1016/s2468-2667(20)30080-3,"['Diana Margot Rosenthal', 'Marcella Ucci', 'Michelle Heys', 'Andrew Hayward', 'Monica Lakhanpaul']"
10.1016/j.wpsyc.2012.01.003,"['Mario Mikulincer', 'Philip R. Shaver']"
10.1542/peds.2023-063678b,"['Laurel K. Leslie', 'Colin J. Orr', 'Adam L. Turner', 'Richard Mink', 'Mary B. Leonard', 'Kathryn A. Sabadosa', 'Robert J. Vinci']"
10.1111/jcpp.13482,"['Mark Tomlinson', 'Sarah Skeen', 'G. J. Meléndez‐Torres', 'Xanthe Hunt', 'Chris Desmond', 'Barak Morgan', 'Lynne Murray', 'Peter Cooper', 'Sujit D. Rathod', 'Marguerite Marlow', 'Pasco Fearon']"
10.1136/bmj.1.4973.949,['Fred Houston']
10.1001/archpsyc.55.9.771,"['William A. Vega', 'Bohdan Kolody', 'Sergio Aguilar‐Gaxiola', 'Ethel Alderete', 'Ralph Catalano', 'Jorge Javier Caraveo-Anduaga']"
10.1001/archgenpsychiatry.2011.160,"['Ronald C. Kessler', 'Shelli Avenevoli', 'E. Jane Costello', 'Katholiki Georgiades', 'Jennifer Green', 'Michael J. Gruber', 'Jian Ping He', 'Doreen Koretz', 'Katie A. McLaughlin', 'Maria Petukhova', 'Nancy A. Sampson', 'Alan M. Zaslavsky', 'Kathleen R. Merikangas']"
10.1162/jocn_a_01801,"['Felicia A. Hardi', 'Leigh G. Goetschius', 'Melissa K. Peckins', 'Jeanne Brooks‐Gunn', 'Sara McLanahan', 'Vonnie C. McLoyd', 'Nestor L. Lopez‐Duran', 'Colter Mitchell', 'Luke W. Hyde', 'Christopher S. Monk']"
10.1016/j.pmedr.2018.10.003,"['Jean M. Twenge', 'W. Keith Campbell']"
10.1111/j.1741-3737.2010.00723.x,['Paul R. Amato']
10.1111/j.1469-7610.1993.tb01094.x,"['Patricia Cohen', 'Jacob Cohen', 'Stephanie Kasen', 'Carmen Noemí Vélez', 'Claudia Hartmark', 'James Johnson', 'Mary Rojas', 'Judith S. Brook', 'Elmer L. Streuning']"
10.2174/15734005113096660010,"['Mónica Flores‐Ramos', 'Norma Galindo-Sevilla', 'Armando Barrios', 'Philippe Leff', 'Carlos Fuentes-Almagro', 'Javier Mancilla-Ramı́rez']"
10.1177/002214650504600204,"['Terrence D. Hill', 'Catherine E. Ross', 'Ronald J. Angel']"
10.1136/bmjopen-2021-058013,"['Yanga Thungana', 'Robert J. Wilkinson', 'Zukiswa Zingela']"
10.1080/1354570022000077926,['Martha C. Nussbaum']
10.1057/fr.1988.42,['Chandra Talpade Mohanty']
10.1037/dev0000883,"['Amy Heberle', 'Alice S. Carter']"
10.1146/annurev.anthro.33.070203.144000,['Robert M. Sapolsky']
10.1177/0263276414536235,['Llewellyn Negrin']
10.1542/peds.110.4.e41,"['Linda Weinreb', 'Cheryl Wehler', 'Jennifer Perloff', 'Richard Ira Scott', 'David W. Hosmer', 'Linda Davidson Sagor', 'Craig Gundersen']"
10.3389/fpubh.2021.782846,"['V. Nelly Salgado de Snyder', 'Alice P. Villatoro', 'Marisol D. McDaniel', 'Ana Sofia Ocegueda', 'Deliana García', 'Deborah Parra‐Medina']"
10.4103/psychiatry.indianjpsychiatry_147_16,"['Marboh Goretti Iaisuklang', 'Arif Ali']"
10.1111/j.1741-3737.2000.01192.x,['Terry Arendell']
10.1192/bjp.163.6.721,"['Paul E. Mullen', 'Judy L. Martin', 'Jessie Anderson', 'Sarah Romans', 'Peter Herbison']"
10.1017/s0954579421000961,"['Rachel E. Lean', 'Emily D. Gerstein', 'Tara A. Smyser', 'Christopher D. Smyser', 'Cynthia Rogers']"
10.1080/15332985.2020.1742850,"['Joseph A. Himle', 'Addie Weaver', 'Debra Levine', 'Edward Steinberger', 'Deborah Bybee', 'Sarah Vlnka', 'Reuben Jonathan Miller', 'Wayne T. Laviolette', 'Kerri Leyda Nicoll']"
10.1186/s12905-022-01595-3,"['Anushka Patel', 'Elana Newman', 'Julia Richardson']"
10.1001/jama.284.18.2348,['Jeffrey G. Johnson']
10.4103/0019-5545.111444,['KS Jacob']
10.1192/bjp.bp.107.038729,"['Eric Emerson', 'Chris Hatton']"
10.1038/s41398-018-0341-1,"['Melanie M. Wall', 'Susan M. Mason', 'Jun Liu', 'Mark Olfson', 'Dianne Neumark‐Sztainer', 'Carlos Blanco']"
10.1111/j.0963-7214.2004.00298.x,"['Nancy E. Hill', 'Lorraine C. Taylor']"
10.1080/02673843.2019.1596823,"['Michaela C. Pascoe', 'Sarah Hetrick', 'Alexandra Parker']"
10.1353/aim.2020.0003,['Timothy Clark']
10.1177/2470547017692328,['Bruce S. McEwen']
10.1093/abm/kaab010,"['Salene M. W. Jones', 'Tammy A. Schuler', 'Tasleem J. Padamsee', 'M. Robyn Andersen']"
10.1111/j.1475-4959.2012.00490.x,"['Emma Mawdsley', 'Laura Savage', 'Sung‐Mi Kim']"
10.1111/j.1600-0447.1977.tb00174.x,"['M. Krawiecka', 'David Goldberg', 'M. Vaughan']"
10.1038/s41386-023-01610-7,"['Erin Hisey', 'Emma L. Fritsch', 'Emily L. Newman', 'Kerry J. Ressler', 'Brian D. Kangas', 'William A. Carlezon']"
10.1016/j.ssmmh.2022.100167,"['Marguerite Marlow', 'Sarah Skeen', 'Xanthe Hunt', 'Phillip Sundin', 'Robert E. Weiss', 'Shoeshoe Mofokeng', 'Moroesi Makhetha', 'Lucie Cluver', 'Lorraine Sherr', 'Mark Tomlinson']"
10.1002/da.22405,"['Nancy K. Grote', 'Wayne Katon', 'Joan Russo', 'Mary Jane Lohr', 'Mary Curran', 'Erin Galvin', 'Kathy Carson']"
10.4000/poldev.2346,"['Humberto Campodónico', 'Gilles Carbonnier', 'Sergio Tezanos Vázquez']"
10.1353/sub.2013.0029,['Joanne Faulkner']
10.1108/bfj-05-2021-0590,"['Tarek Ben Hassen', 'Hamid El Bilali', 'Mohammad Sadegh Allahyari', 'Rabeh Morrar']"
10.7196/sajp.482,['Karl Peltzer']
10.1200/jco.2002.08.549,"['Dan Stark', 'Mary Kiely', 'Adam B. Smith', 'Galina Velikova', 'Allan House', 'Peter J. Selby']"
10.17763/1943-5045-90.1.147,['Jeremy T. Murphy']
10.1186/s41235-021-00303-3,"['Jihyang Jun', 'Yi Ni Toh', 'Caitlin A. Sisk', 'Roger W. Remington', 'Vanessa G. Lee']"
10.1111/j.1469-7610.2004.00351.x,"['Karen Appleyard', 'Byron Egeland', 'Manfred H. M. van Dulmen', 'L. Alan Sroufe']"
10.1007/s44155-024-00076-2,"['J. M. Armitage', 'Stephan Collishaw', 'Ruth Sellers']"
10.1002/wps.20845,"['David R. Williams', 'Onisha S. Etkins']"
10.30476/mejc.2019.44680,"['Liviu Feller', 'R A G Khammissa', 'Raoul Ballyram', 'Rakesh Chandran', 'J Lemmer']"
10.1037/0003-066x.55.2.218,"['W. Andrew Collins', 'Eleanor E. Maccoby', 'Laurence Steinberg', 'E. Mavis Hetherington', 'Marc H. Bornstein']"
10.2105/ajph.2009.174169,"['Kerith J. Conron', 'Matthew J. Mimiaga', 'Stewart Landers']"
10.1111/j.0964-0282.2007.00010.x,"['Jean Comaroff', 'John Comaroff']"
10.1037/0022-3514.66.5.882,['Christian S. Crandall']
10.1017/s0954579498001539,"['Deborah Gorman‐Smith', 'Patrick H. Tolan']"
10.4102/sajcd.v68i1.842,"['Elanie A. van Schalkwyk', 'Berna Gerber']"
10.1186/s12872-020-01595-x,"['Saju Madavanakadu Devassy', 'Martin Webber', 'Lorane Scaria', 'Jotheeswaran Amuthavalli Thiyagarajan', 'Meredith Fendt-Newlin', 'Lynette Joubert', 'Anuja Maria Benny', 'Anjana Nannatt', 'Lynette Joubert']"
10.1136/bmjopen-2015-010512,"['Neeraj Sood', 'Zachary Wagner']"
10.1016/j.socscimed.2022.114747,"['Marieke Heemskerk', 'François‐Michel Le Tourneau', 'Hélène Hiwat', 'Hedley Cairo', 'Pierre Pratley']"
10.1038/s41598-023-35789-y,"['Carlos Gómez‐Restrepo', 'María José Sarmiento-Suárez', 'Magda Alba-Saavedra', 'María Gabriela Calvo-Valderrama', 'Carlos Rincón', 'Lina María González-Ballesteros', 'Victoria Bird', 'Stefan Priebe', 'Francois van Loggerenberg']"
10.5860/choice.45-6258,['Amal Hassan Fadlalla']
10.1016/s0022-3182(12)80137-3,"['Kathy Radimer', 'Christine M. Olson', 'Jennifer C. Greene', 'Cathy Campbell', 'Jean‐Pierre Habicht']"
10.1080/14620316.2022.2036254,"['Vandana Thakur', 'Akhilesh Sharma', 'Parveen Sharma', 'Prabhat Kumar', 'K Shilpa']"
10.1177/0093854809334076,"['Emily J. Salisbury', 'Patricia Van Voorhis']"
10.1111/j.1475-682x.2012.00426.x,"['Heili Pals', 'Howard B. Kaplan']"
10.1542/peds.101.1.e3,"['Ronald E. Kleinman', 'Jane M. Murphy', 'Michelle Little', 'Maria E. Pagano', 'Cheryl Wehler', 'Kenneth Regal', 'Michael S. Jellinek']"
10.2307/1519814,"['Carl A. Latkin', 'Aaron D. Curry']"
10.1111/1471-0528.13009,"['Vicki Flenady', 'Frances M. Boyle', 'Laura Koopmans', 'Patricia Wilson', 'William Stones', 'Joanne Cacciatore']"
10.1016/s0145-2134(98)00087-8,"['J. F. Brown', 'Patricia Cohen', 'Jeffrey G. Johnson', 'Suzanne Salzinger']"
10.1542/pir.19-4-128,['Seidman Ds']
10.1016/s2215-0366(20)30242-x,"['Zelde Espinel', 'Roberto Chaskel', 'Ryan C. Berg', 'Hermes Flórez', 'Silvia L. Gaviria', 'Óscar Bernal', 'Kim van den Berg', 'C. Muñoz', 'Marisa G Larkin', 'James M. Shultz']"
10.1017/s0033291710000401,"['Andrea L. Roberts', 'Stephen E. Gilman', 'J. Breslau', 'Naomi Breslau', 'Karestan C. Koenen']"
10.1097/nmd.0b013e318195fe3f,['Sharon Bond']
10.1007/s00737-023-01384-3,"['Jani Nöthling', 'Andrew Gibbs', 'L. Washington', 'Sithabisile Gugulethu Gigaba', 'Samantha Willan', 'Naeemah Abrahams', 'Rachel Jewkes']"
10.1002/pits.20303,"['James J. Appleton', 'Sandra L. Christenson', 'Michael J. Furlong']"
10.58464/2155-5834.1464,"['Emma Pennea', 'Laura Anderko', 'Caroline Moore', 'Ruth McDermott‐Levy']"
10.1111/j.1469-7610.2011.02514.x,"['Lars Wichström', 'Turid Suzanne Berg‐Nielsen', 'Adrian Angold', 'Helen L. Egger', 'Elisabet Solheim', 'Trude Hamre Sveen']"
10.1353/sof.2006.0023,"['Daniel G. Oliver', 'Julianne M. Serovich', 'Tina L. Mason']"
10.1192/bjp.158.3.340,"['Peter F. Liddle', 'Danielle L. Morris']"
10.1111/1467-839x.00024,['Albert Bandura']
10.3102/0013189x032004003,['David A. Gruenewald']
10.1111/j.1741-3737.2010.00725.x,"['Rand D. Conger', 'Katherine J. Conger', 'Monica J. Martin']"
10.1093/schbul/11.3.471,['Timothy J. Crow']
10.1177/01461672221141509,"['Jasper Neerdaels', 'Christian Tröster', 'Niels Van Quaquebeke']"
10.1001/archpsyc.59.8.741,"['Jeffrey G. Johnson', 'Patricia Cohen', 'Madelyn S. Gould', 'Stephanie Kasen', 'J. F. Brown', 'Judith S. Brook']"
10.3390/bs13050422,"['Violeta Alarcão', 'Pedro Candeias', 'Miodraga Stefanovska–Petkovska', 'Sónia Pintassilgo', 'Fernando Luís Machado', 'Ana Virgolino', 'Osvaldo Santos']"
10.1037/0012-1649.39.5.924,['Gary W. Evans']
10.1001/archpsyc.64.1.49,"['Cathy Spatz Widom', 'Kimberly DuMont', 'Sally J. Czaja']"
10.1080/02500167.2022.2083204,"['Limukani Mathe', 'Gilbert Motsaathebe']"
10.3138/jcs.34.2.13,['Stephen McBride']
10.4103/0019-5545.120536,['SarvadaChandra Tiwari']
10.1111/j.1540-6261.2010.01589.x,"['Thorsten Beck', 'Ross Levine', 'Alexey Levkov']"
10.15562/bmj.v10i3.2828,"['Kellyana Irawati', 'Fadjri Nuryusofa Ningrat', 'Eltanina Ulfameytalia Dewi']"
10.1111/j.1758-0854.2009.01008.x,['Felicia A. Huppert']
10.1001/jama.292.5.575,['Barbara Lopes Cardozo']
10.1037/0022-006x.72.5.885,"['Matthew K. Nock', 'Mitchell J. Prinstein']"
10.1017/s0033291798008186,"['Stephen Brown', 'Jon Birtwistle', 'Liane S. Roe', 'Paul M. Thompson']"
10.2105/ajph.75.5.502,"['Margaret W. Linn', 'R Sandifer', 'Shayna Stein']"
10.1186/s12889-022-13646-3,"['Naa Adjeley Mensah', 'Olutobi Adekunle Sanuade', 'Leonard Baatiema']"
